SICCode,SICDescription
07249901,Cotton pickery services
07410000,Veterinary services for livestock
07419900,"Veterinary services for livestock, nec"
07419901,"Animal hospital services, livestock"
07419902,"Veterinarian, livestock"
07420000,"Veterinary services, specialties"
07429900,"Veterinary services, specialties, nec"
07429901,"Animal hospital services, pets and other animal specialties"
07429902,"Veterinarian, animal specialties"
07510000,"Livestock services, except veterinary"
07510100,Cattle services
07510101,Cattle spraying services
07510102,Dairy herd improvement association services
07510200,Poultry services
07510201,Poultry catching services
07510202,Poultry coop cleaning services
07510300,Sheep services
07510301,Sheep dipping services
07510302,Sheep shearing services
07510400,Livestock reproduction services
07510401,"Artificial insemination services, livestock"
07510402,"Breeding services, livestock"
07510403,"Pedigree record services, livestock"
07519900,"Livestock services, except veterinary, nec"
07519901,Feedlot cleaning services
07519902,Milk testing services
07519903,"Showing services, livestock"
07519904,Slaughtering: custom livestock services
07519905,"Vaccinating services, livestock"
07520000,Animal specialty services
07520100,Animal breeding services
07520101,"Artificial insemination services, animal specialties"
07520102,"Breeding services, horses: racing and non-racing"
07520103,"Breeding services, pet and animal specialties (not horses)"
07520104,"Pedigree record services, pet and animal specialties"
07520200,Animal boarding services
07520201,"Boarding services, horses: racing and non-racing"
07520202,"Boarding services, kennels"
07520203,Dog pounds
07520204,"Shelters, animal"
07520300,Animal training services
07520301,"Showing services, pet and animal specialties"
07520302,"Training services, horses (except racing horses)"
07520303,"Training services, pet and animal specialties (not horses)"
07529900,"Animal specialty services, nec"
07529901,"Grooming services, pet and animal specialties"
07529902,Honey straining services (on farm)
07529903,"Vaccinating services, pet and animal specialties"
07610000,Farm labor contractors
07619900,"Farm labor contractors, nec"
07619901,"Crew leaders, farm labor: contracting services"
07620000,Farm management services
07629900,"Farm management services, nec"
07629901,Citrus grove management and maintenance services
07629902,Orchard management and maintenance services
07629903,Vineyard management and maintenance services
07810000,Landscape counseling and planning
07810100,Horticulture services
07810101,Garden planning services
07810102,Horticultural counseling services
07810200,Landscape services
07810201,Landscape architects
07810202,Landscape counseling services
07810203,Landscape planning services
07820000,Lawn and garden services
07820100,Garden services
07820101,Garden maintenance services
07820102,Garden planting services
07820200,Lawn services
07820201,Cemetery upkeep services
07820202,"Fertilizing services, lawn"
07820203,Lawn care services
07820204,"Mowing services, lawn"
07820205,"Mulching services, lawn"
07820206,"Seeding services, lawn"
07820207,Sodding contractor
07820208,"Spraying services, lawn"
07820209,"Sprigging services, lawn"
07820210,"Turf installation services, except artificial"
07829900,"Lawn and garden services, nec"
07829901,Bermuda sprigging services
07829902,Highway lawn and garden maintenance services
07829903,Landscape contractors
07830000,Ornamental shrub and tree services
07830100,"Planting, pruning, and trimming services"
07830101,"Planting services, ornamental bush"
07830102,"Planting services, ornamental tree"
07830103,"Pruning services, ornamental bush"
07830104,"Pruning services, ornamental tree"
07830105,Tree trimming services for public utility lines
07830200,Bracing and surgery services
07830201,"Bracing services, ornamental bush"
07830202,"Bracing services, ornamental tree"
07830203,"Surgery services, ornamental bush"
07830204,"Surgery services, ornamental tree"
07839900,"Ornamental shrub and tree services, nec"
07839901,Arborist services
07839902,"Removal services, bush and tree"
07839903,"Spraying services, ornamental bush"
07839904,"Spraying services, ornamental tree"
08110000,Timber tracts
08119900,"Timber tracts, nec"
08119901,Christmas tree farm
08119902,"Timber tracts, hardwood"
08119903,"Timber tracts, softwood"
08119904,Tree farm
08310000,Forest products
08310100,Gathering of forest products
08310101,Balsam needles gathering
08310102,Bark gathering
08310103,Ginseng gathering
08310104,Gum gathering
08310105,Huckleberry greens gathering
08310106,Maple sap gathering
08310107,Moss gathering
08310108,Teaberries gathering
08310109,Tree seeds gathering
08310200,Gum and resin extraction and distillation
08310201,"Gum distillation (in forest, farm)"
08310202,Gum extraction
08310203,Lac production
08310204,"Turpentine and rosin distillation (in forest, on farm)"
08319900,"Forest products, nec"
08319901,Forest nurseries
08319902,Rubber plantations
08319903,Tree seeds extracting
08510000,Forestry services
08510100,Forest management services
08510101,"Forest management plans, preparation of"
08510102,Reforestation services
08519900,"Forestry services, nec"
08519901,"Fire fighting services, forest"
08519902,"Fire prevention services, forest"
08519903,"Pest control services, forest"
08519904,Timber cruising services
08519905,Timber estimating services
08519906,Timber valuation services
09120000,Finfish
09129900,"Finfish, nec"
09129901,"Bluefish, catching of"
09129902,"Cod, catching of"
09129903,"Eels, catching of"
09129904,"Haddock, catching of"
09129905,"Mackerel, catching of"
09129906,"Menhaden, catching of"
09129907,"Pilchard, catching of"
09129908,"Pollack, catching of"
09129909,"Rays, catching of"
09129910,"Salmon, catching of"
09129911,"Sea herring, catching of"
09129912,"Shark, catching of"
09129913,"Tuna, catching of"
09129914,"Whiting, catching of"
09130000,Shellfish
09130100,Digging of shellfish
09130101,"Clams, digging of"
09130102,"Mussells, taking of"
09130103,Oyster beds
09130104,"Oysters, dredging or tonging of"
09130200,Catching of shellfish
09130201,"Crabs, catching of"
09130202,"Crayfish, catching of"
09130203,"Lobsters, catching of"
09130204,"Shrimp, catching of"
09130205,"Squid, catching of"
09190000,Miscellaneous marine products
09190100,Whale fishing and whale products
09190101,Whale fishing
09190102,Whale meat production
09190103,"Whale oil production, crude"
09199900,"Miscellaneous marine products, nec"
09199901,Cultured pearl production
09199902,"Frogs, catching of"
09199903,"Oyster shells, dredging"
09199904,"Sea urchins, catching of"
09199905,Seal hunting
09199906,"Seaweed, gathering of"
09199907,"Sponges, gathering of"
09199908,"Terrapins, catching of"
09199909,"Turtles, catching of"
09210000,Fish hatcheries and preserves
09219900,"Fish hatcheries and preserves, nec"
09219901,Fish hatcheries
09219902,Fishing preserves
09710000,"Hunting, trapping, game propagation"
09710100,Game services
09710101,Game management
09710102,Game preserve
09710103,Game propagation
09710104,Game retreat
09710200,Hunting services
09710201,Hunting preserve
09710202,"Hunting, commercial"
09719900,"Hunting, trapping, game propagation, nec"
09719901,"Animal hunting and trapping, commercial"
09719902,Wildlife management
10110000,Iron ores
10110100,Iron ore mining
10110101,"Open pit iron ore mining, nec"
10110102,Open pit taconite mining
10110103,Underground iron ore mining
10110200,Iron ore preparation
10110201,Iron ore beneficiating
10110202,Iron ore pelletizing
10110203,Iron ore sintering at the mine
10210000,Copper ores
10210100,Copper ore mining and preparation
10210101,Copper ore milling and preparation
10210102,Open pit copper ore mining
10210103,Underground copper ore mining
10310000,Lead and zinc ores
10310100,Lead ores mining
10310101,Cerussite mining
10310102,Galena mining
10310200,Zinc ores mining
10310201,Calamine mining
10310202,Smithsonite mining
10310203,Willemite mining
10310204,Zinc-blende (sphalerite) mining
10310205,Zincite mining
10410000,Gold ores
10410100,Gold ores mining
10410101,Open pit gold mining
10410102,Placer gold mining
10410103,Underground gold mining
10410200,Gold ores processing
10410201,Gold bullion production
10410202,Gold ore milling
10410203,Gold recovery from tailings
10440000,Silver ores
10440100,Silver ores mining
10440101,Open pit silver mining
10440102,Placer silver mining
10440103,Underground silver mining
10440200,Silver ores processing
10440201,Silver bullion production
10440202,Silver ore milling
10440203,Silver recovery from tailings
10610000,"Ferroalloy ores, except vanadium"
10610100,Chromium ores mining
10610101,Chromite mining
10610200,Manganese ores mining
10610201,Manganite mining
10610202,Psilomelane mining
10610203,Pyrolusite mining
10610204,Rhodochrosite mining
10610300,Molybdenum ores mining
10610301,Molybdenite mining
10610302,Molybdite mining
10610400,Tungsten ores mining
10610401,Scheelite mining
10610402,Wolframite mining
10610403,Wulfenite mining
10619900,"Ferroalloy ores, except vanadium, nec"
10619901,Cobalt ore mining
10619902,Columbite mining
10619903,Ferberite mining
10619904,Huebnerite mining
10619905,Nickel ore mining
10619906,Tantalite mining
10619907,Tantalum ore mining
10810000,Metal mining services
10810100,Metal mining exploration and development services
10810101,"Exploration, metal mining"
10810102,"Mine development, metal"
10810103,"Preparing shafts or tunnels, metal mining"
10810104,"Test boring, metal mining"
10819900,"Metal mining services, nec"
10819901,Draining or pumping of metal mines
10819902,"Overburden removal, metal mining"
10940000,Uranium-radium-vanadium ores
10949900,"Uranium-radium-vanadium ores, nec"
10949901,Carnotite mining
10949902,Pitchblende mining
10949903,"Radium ore mining, nec"
10949904,Roscoelite (vanadium hydromica) mining
10949905,"Uranium ore mining, nec"
10949906,"Vanadium ore mining, nec"
10990000,"Metal ores, nec"
10990100,Aluminum and beryllium ores mining
10990101,Aluminum ore mining
10990102,Bauxite mining
10990103,Beryl mining
10990104,Beryllium ore mining
10990200,Palladium group ores mining
10990201,Rhodium ore mining
10990202,Ruthenium ore mining
10990300,Platinum group ores mining
10990301,Iridium ore mining
10990302,Osmium ore mining
10990400,Rare-earth ores mining
10990401,Cerium ore mining
10990402,Monazite mining
10990500,Titanium and zirconium ores mining
10990501,Rutile mining
10990502,Titaniferous-magnetite mining
10990503,Titanium ore mining
10990504,Zirconium ore mining
10999900,"Metal ores, nec, nec"
10999901,Antimony ore mining
10999902,Bastnasite ore mining
10999903,Ilmenite mining
10999904,Mercury ore mining
10999905,Microlite mining
10999906,Thorium ore mining
10999907,Tin ore mining
12210000,Bituminous coal and lignite-surface mining
12210100,Bituminous coal surface mining
12210101,"Auger mining, bituminous"
12210102,Culm bank mining
12210103,"Strip mining, bituminous"
12210104,"Strip mining, lignite"
12210105,"Surface mining, bituminous, nec"
12210106,"Surface mining, lignite, nec"
12210200,Bituminous coal and lignite loading and preparation
12210201,"Coal preparation plant, bituminous or lignite"
12210202,"Unit train loading facility, bituminous or lignite"
12220000,Bituminous coal-underground mining
12229900,"Bituminous coal-underground, nec"
12229901,"Underground mining, semianthracite"
12229902,"Underground mining, semibituminous"
12229903,"Underground mining, subbituminous"
12310000,Anthracite mining
12310100,Anthracite preparation and screening
12310101,"Preparation plants, anthracite"
12310102,"Screening plants, anthracite"
12319900,"Anthracite mining, nec"
12319901,"Dredging, anthracite"
12319902,Recovery of anthracite from culm banks
12319903,"Strip mining, anthracite"
12319904,"Underground mining, anthracite"
12410000,Coal mining services
12410100,Coal mining exploration and test boring
12410101,"Exploration, anthracite mining"
12410102,"Exploration, bituminous or lignite mining"
12410103,"Test boring, anthracite mining"
12410104,"Test boring, bituminous or lignite mining"
12410200,Mine preparation services
12410201,"Overburden removal, anthracite mining"
12410202,"Overburden removal, bituminous or lignite mining"
12410203,"Preparing shafts or tunnels, anthracite mining"
12410204,"Preparing shafts or tunnels, bituminous or lignite mining"
12419900,"Coal mining services, nec"
12419901,"Anthracite mining services, contract basis"
12419902,"Bituminous coal mining services, contract basis"
12419903,Draining or pumping of anthracite mines
12419904,Draining or pumping of bituminous or lignite mines
12419905,"Mining services, nec: anthracite"
12419906,"Mining services, nec: bituminous"
12419907,"Mining services, nec: lignite"
13110000,Crude petroleum and natural gas
13110100,Crude petroleum and natural gas production
13110101,Crude petroleum production
13110102,Natural gas production
13110200,Gas and hydrocarbon liquefaction from coal
13110201,Coal gasification
13110202,Coal liquefaction
13110203,Coal pyrolysis
13110300,Sand and shale oil mining
13110301,Oil sand mining
13110302,Oil shale mining
13110303,Tar sands mining
13210000,Natural gas liquids
13219900,"Natural gas liquids, nec"
13219901,Butane (natural) production
13219902,Casing-head butane and propane production
13219903,Cycle condensate production (natural gas)
13219904,Ethane (natural) production
13219905,Fractionating natural gas liquids
13219906,Isobutane (natural) production
13219907,Liquefied petroleum gases (natural) production
13219908,Natural gas liquids production
13219909,Natural gasoline production
13219910,Propane (natural) production
13810000,Drilling oil and gas wells
13819900,"Drilling oil and gas wells, nec"
13819901,Directional drilling oil and gas wells
13819902,Drilling water intake wells
13819903,Redrilling oil and gas wells
13819904,Reworking oil and gas wells
13819905,Service well drilling
13819906,Spudding in oil and gas wells
13820000,Oil and gas exploration services
13829900,"Oil and gas exploration services, nec"
13829901,"Aerial geophysical exploration, oil and gas"
13829902,"Geological exploration, oil and gas field"
13829903,"Geophysical exploration, oil and gas field"
13829904,Seismograph surveys
13890000,"Oil and gas field services, nec"
13890100,"Construction, repair, and dismantling services"
13890101,Building oil and gas well foundations on site
13890102,"Derrick building, repairing, and dismantling"
13890103,Excavating slush pits and cellars
13890104,Grading oil and gas well foundations
13890105,"Lease tanks, oil field: erecting, cleaning, and repairing"
13890106,"Oil and gas wells: building, repairing and dismantling"
13890107,"Well plugging and abandoning, oil and gas"
13890200,"Testing, measuring, surveying, and analysis services"
13890201,"Detection and analysis service, gas"
13890202,"Measurement of well flow rates, oil and gas"
13890203,Oil sampling service for oil companies
13890204,"Pipe testing, oil field service"
13890205,Surveying wells
13890300,"Bailing, cleaning, swabbing, and treating of wells"
13890301,Acidizing wells
13890302,Bailing wells
13890303,Chemically treating wells
13890304,Cleaning wells
13890305,Swabbing wells
13899900,"Oil and gas field services, nec, nec"
13899901,Cementing oil and gas well casings
13899902,"Fire fighting, oil and gas field"
13899903,"Fishing for tools, oil and gas field"
13899904,Gas compressing (natural gas) at the fields
13899905,"Gas field services, nec"
13899906,"Haulage, oil field"
13899907,Hot shot service
13899908,Hydraulic fracturing wells
13899909,"Impounding and storing salt water, oil and gas field"
13899910,"Mud service, oil field drilling"
13899911,Oil consultants
13899912,"Oil field services, nec"
13899913,Perforating well casings
13899914,"Processing service, gas"
13899915,Pumping of oil and gas wells
13899916,Removal of condensate gasoline from field (gathering) lines
13899917,Roustabout service
13899918,"Running, cutting, and pulling casings, tubes and rods"
13899919,Servicing oil and gas wells
13899920,Well logging
14110000,Dimension stone
14110100,Limestone and marble dimension stone
14110101,"Calcareous tufa, dimension-quarrying"
14110102,"Dolomite, dimension-quarrying"
14110103,"Dolomitic marble, dimension-quarrying"
14110104,"Limestone, dimension-quarrying"
14110105,"Marble, dimension-quarrying"
14110106,"Travertine, dimension-quarrying"
14110200,Granite dimension stone
14110201,"Diabase, dimension-quarrying"
14110202,"Diorite, dimension-quarrying"
14110203,"Gneiss, dimension-quarrying"
14110204,"Granite, dimension-quarrying"
14110205,"Greenstone, dimension-quarrying"
14110206,"Syenite, dimension-quarrying"
14110300,Igneus dimension stone
14110301,"Basalt, dimension-quarrying"
14110302,"Gabbro, dimension-quarrying"
14110303,"Trap rock, dimension-quarrying"
14110304,"Volcanic rock, dimension-quarrying"
14119900,"Dimension stone, nec"
14119901,"Argillite, dimension-quarrying"
14119902,"Bluestone, dimension-quarrying"
14119903,Flagstone mining
14119904,"Mica schist, dimension-quarrying"
14119905,"Onyx marble, dimension-quarrying"
14119906,"Quartzite, dimension-quarrying"
14119907,Rubble mining
14119908,"Sandstone, dimension-quarrying"
14119909,"Serpentine, dimension-quarrying"
14119910,"Slate, dimension-quarrying"
14119911,"Verde' antique, dimension-quarrying"
14220000,Crushed and broken limestone
14220100,"Limestones, ground"
14220101,"Agricultural limestone, ground"
14220102,"Chalk, ground or otherwise treated"
14220103,"Lime rock, ground"
14229900,"Crushed and broken limestone, nec"
14229901,"Calcareous tufa, crushed and broken-quarrying"
14229902,"Cement rock, crushed and broken-quarrying"
14229903,"Chalk mining, crushed and broken-quarrying"
14229904,"Dolomite, crushed and broken-quarrying"
14229905,"Marl, crushed and broken-quarrying"
14229906,"Travertine, crushed and broken-quarrying"
14229907,"Whiting mining, crushed and broken-quarrying"
14230000,Crushed and broken granite
14239900,"Crushed and broken granite, nec"
14239901,"Diorite, crushed and broken-quarrying"
14239902,"Gneiss, crushed and broken-quarrying"
14239903,"Syenite, crushed and broken-quarrying"
14290000,"Crushed and broken stone, nec"
14290100,"Igneus rock, crushed and broken-quarrying"
14290101,"Basalt, crushed and broken-quarrying"
14290102,"Gabbro, crushed and broken-quarrying"
14290103,"Trap rock, crushed and broken-quarrying"
14290104,"Volcanic rock, crushed and broken-quarrying"
14299900,"Crushed and broken stone, nec, nec"
14299901,"Boulder, crushed and broken-quarrying"
14299902,"Diabase, crushed and broken-quarrying"
14299903,"Dolomitic marble, crushed and broken-quarrying"
14299904,"Ganister, crushed and broken-quarrying"
14299905,Grits mining (crushed stone)
14299906,"Marble, crushed and broken-quarrying"
14299907,"Mica schist, crushed and broken-quarrying"
14299908,"Onyx marble, crushed and broken-quarrying"
14299909,"Quartzite, crushed and broken-quarrying"
14299910,Riprap quarrying
14299911,"Sandstone, crushed and broken-quarrying"
14299912,"Serpentine, crushed and broken-quarrying"
14299913,"Slate, crushed and broken-quarrying"
14299914,"Verde' antique, crushed and broken-quarrying"
14420000,Construction sand and gravel
14420100,Sand mining
14420101,Common sand mining
14420102,Construction sand mining
14420200,Gravel and pebble mining
14420201,Gravel mining
14420202,Pebble mining
14460000,Industrial sand
14469900,"Industrial sand, nec"
14469901,Abrasive sand mining
14469902,Blast sand mining
14469903,Enamel sand mining
14469904,Filtration sand mining
14469905,Foundry sand mining
14469906,Glass sand mining
14469907,Grinding sand mining
14469908,Molding sand mining
14469909,Silica mining
14469910,Silica sand mining
14550000,Kaolin and ball clay
14559900,"Kaolin and ball clay, nec"
14559901,Ball clay mining
14559902,China clay mining
14559903,Kaolin mining
14559904,Paper clay mining
14559905,Rubber clay mining
14559906,Slip clay mining
14590000,"Clay and related minerals, nec"
14590100,"Clays, except kaolin and ball"
14590101,Bentonite mining
14590102,Clays (common) quarrying
14590103,Fire clay mining
14590104,Flint clay mining
