SICCode,SICDescription,SIC Only Auxilary Code 1,SIC Only Auxilary Code 2,SIC Only Auxilary Code 3
07510202,Poultry coop cleaning services,X,,
07510300,Sheep services,X,,
07510301,Sheep dipping services,X,,
07510302,Sheep shearing services,X,,
07510400,Livestock reproduction services,X,,
07510401,"Artificial insemination services, livestock",X,,
07510402,"Breeding services, livestock",X,,
07510403,"Pedigree record services, livestock",X,,
07519900,"Livestock services, except veterinary, nec",X,,
07519901,Feedlot cleaning services,X,,
07519902,Milk testing services,X,,
07519903,"Showing services, livestock",X,,
07519904,Slaughtering: custom livestock services,X,,
07519905,"Vaccinating services, livestock",X,,
07520000,Animal specialty services,X,,
07520100,Animal breeding services,X,,
07520101,"Artificial insemination services, animal specialties",X,,
07520102,"Breeding services, horses: racing and non-racing",X,,
07520103,"Breeding services, pet and animal specialties (not horses)",X,,
07520104,"Pedigree record services, pet and animal specialties",X,,
07520200,Animal boarding services,PET,,
07520201,"Boarding services, horses: racing and non-racing",X,,
07520202,"Boarding services, kennels",PET,,
07520203,Dog pounds,NO,,
07520204,"Shelters, animal",NO,,
07520300,Animal training services,PET,,
07520301,"Showing services, pet and animal specialties",NO,,
07520302,"Training services, horses (except racing horses)",X,,
07520303,"Training services, pet and animal specialties (not horses)",PET,,
07529900,"Animal specialty services, nec",X,,
07529901,"Grooming services, pet and animal specialties",PET,,
07529902,Honey straining services (on farm),X,,
07529903,"Vaccinating services, pet and animal specialties",X,,
07610000,Farm labor contractors,X,,
07619900,"Farm labor contractors, nec",X,,
07619901,"Crew leaders, farm labor: contracting services",X,,
07620000,Farm management services,LFS,,
07629900,"Farm management services, nec",LFS,,
07629901,Citrus grove management and maintenance services,LFS,,
07629902,Orchard management and maintenance services,LFS,,
07629903,Vineyard management and maintenance services,LFS,,
07810000,Landscape counseling and planning,LFS,,
07810100,Horticulture services,LFS,,
07810101,Garden planning services,LFS,,
07810102,Horticultural counseling services,LFS,,
07810200,Landscape services,LFS,,
07810201,Landscape architects,LFS,,
07810202,Landscape counseling services,LFS,,
07810203,Landscape planning services,LFS,,
07820000,Lawn and garden services,LGM,,
07820100,Garden services,LGM,,
07820101,Garden maintenance services,LGM,,
07820102,Garden planting services,LGM,,
07820200,Lawn services,LGM,,
07820201,Cemetery upkeep services,LGM,,
07820202,"Fertilizing services, lawn",LGM,,
07820203,Lawn care services,LGM,,
07820204,"Mowing services, lawn",LGM,,
07820205,"Mulching services, lawn",LGM,,
07820206,"Seeding services, lawn",LGM,,
07820207,Sodding contractor,LGM,,
07820208,"Spraying services, lawn",LGM,,
07820209,"Sprigging services, lawn",LGM,,
07820210,"Turf installation services, except artificial",LGM,,
07829900,"Lawn and garden services, nec",LGM,,
07829901,Bermuda sprigging services,LGM,,
07829902,Highway lawn and garden maintenance services,LGM,,
07829903,Landscape contractors,LGM,,
07830000,Ornamental shrub and tree services,TRS,,
07830100,"Planting, pruning, and trimming services",TRS,,
07830101,"Planting services, ornamental bush",TRS,,
07830102,"Planting services, ornamental tree",TRS,,
07830103,"Pruning services, ornamental bush",TRS,,
07830104,"Pruning services, ornamental tree",TRS,,
07830105,Tree trimming services for public utility lines,TRS,,
07830200,Bracing and surgery services,TRS,,
07830201,"Bracing services, ornamental bush",TRS,,
07830202,"Bracing services, ornamental tree",TRS,,
07830203,"Surgery services, ornamental bush",TRS,,
07830204,"Surgery services, ornamental tree",TRS,,
07839900,"Ornamental shrub and tree services, nec",TRS,,
07839901,Arborist services,TRS,,
07839902,"Removal services, bush and tree",TRS,,
07839903,"Spraying services, ornamental bush",TRS,,
07839904,"Spraying services, ornamental tree",TRS,,
08110000,Timber tracts,X,,
08119900,"Timber tracts, nec",X,,
08119901,Christmas tree farm,X,,
08119902,"Timber tracts, hardwood",X,,
08119903,"Timber tracts, softwood",X,,
08119904,Tree farm,X,,
08310000,Forest products,X,,
08310100,Gathering of forest products,X,,
08310101,Balsam needles gathering,X,,
08310102,Bark gathering,X,,
08310103,Ginseng gathering,X,,
08310104,Gum gathering,X,,
08310105,Huckleberry greens gathering,X,,
08310106,Maple sap gathering,X,,
08310107,Moss gathering,X,,
08310108,Teaberries gathering,X,,
08310109,Tree seeds gathering,X,,
08310200,Gum and resin extraction and distillation,X,,
08310201,"Gum distillation (in forest, farm)",X,,
08310202,Gum extraction,X,,
08310203,Lac production,X,,
08310204,"Turpentine and rosin distillation (in forest, on farm)",X,,
08319900,"Forest products, nec",X,,
08319901,Forest nurseries,X,,
08319902,Rubber plantations,X,,
08319903,Tree seeds extracting,X,,
08510000,Forestry services,FOR,,
08510100,Forest management services,FOR,,
08510101,"Forest management plans, preparation of",FOR,,
08510102,Reforestation services,FOR,,
08519900,"Forestry services, nec",FOR,,
08519901,"Fire fighting services, forest",FOR,,
08519902,"Fire prevention services, forest",FOR,,
08519903,"Pest control services, forest",FOR,,
08519904,Timber cruising services,FOR,,
08519905,Timber estimating services,FOR,,
08519906,Timber valuation services,FOR,,
09120000,Finfish,WAT,,
09129900,"Finfish, nec",WAT,,
09129901,"Bluefish, catching of",WAT,,
09129902,"Cod, catching of",WAT,,
09129903,"Eels, catching of",WAT,,
09129904,"Haddock, catching of",WAT,,
09129905,"Mackerel, catching of",WAT,,
09129906,"Menhaden, catching of",WAT,,
09129907,"Pilchard, catching of",WAT,,
09129908,"Pollack, catching of",WAT,,
09129909,"Rays, catching of",WAT,,
09129910,"Salmon, catching of",WAT,,
09129911,"Sea herring, catching of",WAT,,
09129912,"Shark, catching of",WAT,,
09129913,"Tuna, catching of",WAT,,
09129914,"Whiting, catching of",WAT,,
09130000,Shellfish,WAT,,
09130100,Digging of shellfish,WAT,,
09130101,"Clams, digging of",WAT,,
09130102,"Mussells, taking of",WAT,,
09130103,Oyster beds,WAT,,
09130104,"Oysters, dredging or tonging of",WAT,,
09130200,Catching of shellfish,WAT,,
09130201,"Crabs, catching of",WAT,,
09130202,"Crayfish, catching of",WAT,,
09130203,"Lobsters, catching of",WAT,,
09130204,"Shrimp, catching of",WAT,,
09130205,"Squid, catching of",WAT,,
09190000,Miscellaneous marine products,WAT,,
09190100,Whale fishing and whale products,WAT,,
09190101,Whale fishing,WAT,,
09190102,Whale meat production,WAT,,
09190103,"Whale oil production, crude",WAT,,
09199900,"Miscellaneous marine products, nec",WAT,,
09199901,Cultured pearl production,WAT,,
09199902,"Frogs, catching of",WAT,,
09199903,"Oyster shells, dredging",WAT,,
09199904,"Sea urchins, catching of",WAT,,
09199905,Seal hunting,WAT,,
09199906,"Seaweed, gathering of",WAT,,
09199907,"Sponges, gathering of",WAT,,
09199908,"Terrapins, catching of",WAT,,
09199909,"Turtles, catching of",WAT,,
09210000,Fish hatcheries and preserves,WAT,,
09219900,"Fish hatcheries and preserves, nec",WAT,,
09219901,Fish hatcheries,WAT,,
09219902,Fishing preserves,WAT,,
09710000,"Hunting, trapping, game propagation",X,,
09710100,Game services,X,,
09710101,Game management,X,,
09710102,Game preserve,X,,
09710103,Game propagation,X,,
09710104,Game retreat,X,,
09710200,Hunting services,X,,
09710201,Hunting preserve,X,,
09710202,"Hunting, commercial",X,,
09719900,"Hunting, trapping, game propagation, nec",X,,
09719901,"Animal hunting and trapping, commercial",X,,
09719902,Wildlife management,X,,
10110000,Iron ores,X,,
10110100,Iron ore mining,X,,
10110101,"Open pit iron ore mining, nec",X,,
10110102,Open pit taconite mining,X,,
10110103,Underground iron ore mining,X,,
10110200,Iron ore preparation,X,,
10110201,Iron ore beneficiating,X,,
10110202,Iron ore pelletizing,X,,
10110203,Iron ore sintering at the mine,X,,
10210000,Copper ores,X,,
10210100,Copper ore mining and preparation,X,,
10210101,Copper ore milling and preparation,X,,
10210102,Open pit copper ore mining,X,,
10210103,Underground copper ore mining,X,,
10310000,Lead and zinc ores,X,,
10310100,Lead ores mining,X,,
10310101,Cerussite mining,X,,
10310102,Galena mining,X,,
10310200,Zinc ores mining,X,,
10310201,Calamine mining,X,,
10310202,Smithsonite mining,X,,
10310203,Willemite mining,X,,
10310204,Zinc-blende (sphalerite) mining,X,,
10310205,Zincite mining,X,,
10410000,Gold ores,X,,
10410100,Gold ores mining,X,,
10410101,Open pit gold mining,X,,
10410102,Placer gold mining,X,,
10410103,Underground gold mining,X,,
10410200,Gold ores processing,X,,
10410201,Gold bullion production,X,,
10410202,Gold ore milling,X,,
10410203,Gold recovery from tailings,X,,
10440000,Silver ores,X,,
10440100,Silver ores mining,X,,
10440101,Open pit silver mining,X,,
10440102,Placer silver mining,X,,
10440103,Underground silver mining,X,,
10440200,Silver ores processing,X,,
10440201,Silver bullion production,X,,
10440202,Silver ore milling,X,,
10440203,Silver recovery from tailings,X,,
10610000,"Ferroalloy ores, except vanadium",X,,
10610100,Chromium ores mining,X,,
10610101,Chromite mining,X,,
10610200,Manganese ores mining,X,,
10610201,Manganite mining,X,,
10610202,Psilomelane mining,X,,
10610203,Pyrolusite mining,X,,
10610204,Rhodochrosite mining,X,,
10610300,Molybdenum ores mining,X,,
10610301,Molybdenite mining,X,,
10610302,Molybdite mining,X,,
10610400,Tungsten ores mining,X,,
10610401,Scheelite mining,X,,
10610402,Wolframite mining,X,,
10610403,Wulfenite mining,X,,
10619900,"Ferroalloy ores, except vanadium, nec",X,,
10619901,Cobalt ore mining,X,,
10619902,Columbite mining,X,,
10619903,Ferberite mining,X,,
10619904,Huebnerite mining,X,,
10619905,Nickel ore mining,X,,
10619906,Tantalite mining,X,,
10619907,Tantalum ore mining,X,,
10810000,Metal mining services,X,,
10810100,Metal mining exploration and development services,X,,
10810101,"Exploration, metal mining",X,,
10810102,"Mine development, metal",X,,
10810103,"Preparing shafts or tunnels, metal mining",X,,
10810104,"Test boring, metal mining",X,,
10819900,"Metal mining services, nec",X,,
10819901,Draining or pumping of metal mines,X,,
10819902,"Overburden removal, metal mining",X,,
10940000,Uranium-radium-vanadium ores,X,,
10949900,"Uranium-radium-vanadium ores, nec",X,,
10949901,Carnotite mining,X,,
10949902,Pitchblende mining,X,,
10949903,"Radium ore mining, nec",X,,
10949904,Roscoelite (vanadium hydromica) mining,X,,
10949905,"Uranium ore mining, nec",X,,
10949906,"Vanadium ore mining, nec",X,,
10990000,"Metal ores, nec",X,,
10990100,Aluminum and beryllium ores mining,X,,
10990101,Aluminum ore mining,X,,
10990102,Bauxite mining,X,,
10990103,Beryl mining,X,,
10990104,Beryllium ore mining,X,,
10990200,Palladium group ores mining,X,,
10990201,Rhodium ore mining,X,,
10990202,Ruthenium ore mining,X,,
10990300,Platinum group ores mining,X,,
10990301,Iridium ore mining,X,,
10990302,Osmium ore mining,X,,
10990400,Rare-earth ores mining,X,,
10990401,Cerium ore mining,X,,
10990402,Monazite mining,X,,
10990500,Titanium and zirconium ores mining,X,,
10990501,Rutile mining,X,,
10990502,Titaniferous-magnetite mining,X,,
10990503,Titanium ore mining,X,,
10990504,Zirconium ore mining,X,,
10999900,"Metal ores, nec, nec",X,,
10999901,Antimony ore mining,X,,
10999902,Bastnasite ore mining,X,,
10999903,Ilmenite mining,X,,
10999904,Mercury ore mining,X,,
10999905,Microlite mining,X,,
10999906,Thorium ore mining,X,,
10999907,Tin ore mining,X,,
12210000,Bituminous coal and lignite-surface mining,X,,
12210100,Bituminous coal surface mining,X,,
12210101,"Auger mining, bituminous",X,,
12210102,Culm bank mining,X,,
12210103,"Strip mining, bituminous",X,,
12210104,"Strip mining, lignite",X,,
12210105,"Surface mining, bituminous, nec",X,,
12210106,"Surface mining, lignite, nec",X,,
12210200,Bituminous coal and lignite loading and preparation,X,,
12210201,"Coal preparation plant, bituminous or lignite",X,,
12210202,"Unit train loading facility, bituminous or lignite",X,,
12220000,Bituminous coal-underground mining,X,,
12229900,"Bituminous coal-underground, nec",X,,
12229901,"Underground mining, semianthracite",X,,
12229902,"Underground mining, semibituminous",X,,
12229903,"Underground mining, subbituminous",X,,
12310000,Anthracite mining,X,,
12310100,Anthracite preparation and screening,X,,
12310101,"Preparation plants, anthracite",X,,
12310102,"Screening plants, anthracite",X,,
12319900,"Anthracite mining, nec",X,,
12319901,"Dredging, anthracite",X,,
12319902,Recovery of anthracite from culm banks,X,,
12319903,"Strip mining, anthracite",X,,
12319904,"Underground mining, anthracite",X,,
12410000,Coal mining services,X,,
12410100,Coal mining exploration and test boring,X,,
12410101,"Exploration, anthracite mining",X,,
12410102,"Exploration, bituminous or lignite mining",X,,
12410103,"Test boring, anthracite mining",X,,
12410104,"Test boring, bituminous or lignite mining",X,,
12410200,Mine preparation services,X,,
12410201,"Overburden removal, anthracite mining",X,,
12410202,"Overburden removal, bituminous or lignite mining",X,,
12410203,"Preparing shafts or tunnels, anthracite mining",X,,
12410204,"Preparing shafts or tunnels, bituminous or lignite mining",X,,
12419900,"Coal mining services, nec",X,,
12419901,"Anthracite mining services, contract basis",X,,
12419902,"Bituminous coal mining services, contract basis",X,,
12419903,Draining or pumping of anthracite mines,X,,
12419904,Draining or pumping of bituminous or lignite mines,X,,
12419905,"Mining services, nec: anthracite",X,,
12419906,"Mining services, nec: bituminous",X,,
12419907,"Mining services, nec: lignite",X,,
13110000,Crude petroleum and natural gas,X,,
13110100,Crude petroleum and natural gas production,X,,
13110101,Crude petroleum production,X,,
13110102,Natural gas production,X,,
13110200,Gas and hydrocarbon liquefaction from coal,X,,
13110201,Coal gasification,X,,
13110202,Coal liquefaction,X,,
13110203,Coal pyrolysis,X,,
13110300,Sand and shale oil mining,X,,
13110301,Oil sand mining,X,,
13110302,Oil shale mining,X,,
13110303,Tar sands mining,X,,
13210000,Natural gas liquids,X,,
13219900,"Natural gas liquids, nec",X,,
